name,lat,lng
Marine Terrace Blk 50A (50A Marine Terrace),1.30580998,103.9157867
Redhill Lane Blk 85 (Redhill Food Centre),1.28740001,103.8183975
Sembawang Hills Food Centre (Jalan Leban Food Centre),1.37241995,103.8290329
Serangoon Garden Market,1.3635400500000001,103.8669815
Eunos Crescent Blk 4A,1.320292,103.9042206
Market Street Interim Hawker Centre,1.28156793,103.8488473
Marsiling Lane Blk 20/21,1.44398999,103.7772598
Marsiling Mall Hawker Centre,1.433543,103.779881
Maxwell Food Centre (Kim Hua Market),1.28055096,103.8444595
Mei Chin Road Blk 159 (Mei Chin Road Market),1.29330003,103.8029633
Toa Payoh Lorong 1 Blk 127 (Toa Payoh West Market and Food Court),1.33816004,103.8447876
Old Airport Road Blk 51 (51 Old Airport Road Food Centre and Shopping Mall),1.30827999,103.8858414
Circuit Road Blk 79/79A,1.32666004,103.8851166
Holland Village Market and Food Centre,1.31110203,103.7949448
Ang Mo Kio Ave 6 Blk 724 (Blk 724 Ang Mo Kio Market),1.37204003,103.8464966
Ang Mo Kio Street 22 Blk 226H (Kebun Baru Food Centre),1.36726606,103.8399429
Bedok Reservoir Road Blk 630,1.33298004,103.9142075
Bedok Food Centre,1.32035303,103.9554749
Chomp Chomp Food Centre,1.36422801,103.8665314
Pasir Ris Central Hawker Centre,1.373318,103.951364
Queen Street Blk 270 (Albert Centre),1.30112004,103.8541412
Redhill Lane Blk 79 (Redhill Market),1.28790999,103.8183975
Marine Parade Central Blk 84 (84 Marine Parade Central Market and Food Centre),1.30233002,103.9063873
Tiong Bahru Market,1.28468299,103.832428
Toa Payoh Lorong 4 Blk 74 (Toa Payoh Vista Market),1.33462,103.8520584
Ang Mo Kio Ave 1 Blk 226D (Kebun Baru Market and Food Centre),1.36695004,103.8391876
Jalan Bukit Merah Blk 6 (ABC Brickworks Market/Food Centre),1.28700995,103.8081894
Smith Street Blk 335 (Chinatown Complex Market),1.2823,103.8428802
Taman Jurong Market and Food Centre,1.33468103,103.7216187
Bedok North Street 3 Blk 511 (Kaki Bukit 511 Market and Food Centre),1.33331001,103.930687
Bukit Merah Central Blk 163 (Bukit Merah Central Food Centre),1.28374004,103.8171082
Toa Payoh Lorong 7 Blk 22 (Kim Keat Palm Market and Food Centre),1.3352899599999999,103.8570633
Beo Crescent Market,1.28848803,103.8272476
Berseh Food Centre,1.30733502,103.8568497
Buffalo Road Blk 665 (Tekka Centre/Zhu Jiao Market),1.30619001,103.8506699
Bukit Merah Lane 1 Blk 120 (Alexandra Village Food Centre),1.28636003,103.8045502
Bukit Panjang Hawker Centre,1.378269,103.772432
Cambridge Road Blk 41A (Pek Kio Market and Food Centre),1.3162000200000001,103.8503036
Tampines Street 11 Blk 137 (Tampines Round Market and Food Centre),1.34559596,103.9445953
Bedok North Street 1 Blk 216,1.32711995,103.9332962
Hougang Ave 1 Blk 105 (Hougang 105 Hainanese Village Centre),1.35408998,103.890213
Hougang Street 21 Blk 209 (Kovan Hougang Market and Food Centre),1.359079,103.8859253
Jalan Batu Blk 4A (Blk 4A Jalan Batu Hawker Centre/Market),1.30243003,103.8839798
Jalan Bukit Merah Blk 112 (Blk 112 Jalan Bukit Merah Market and Food Centre),1.2800699500000001,103.8260727
Bendemeer Road Blk 29 (Bendemeer Market and Food Centre),1.31928003,103.8630905
West Coast Drive Blk 503 (Ayer Rajah Food Centre),1.31186998,103.7598038
Whampoa Drive Blk 90 (Whampoa Drive Makan Place/Whampoa Food Centre),1.32314003,103.8550415
Whampoa Drive Blk 91/92 (Whampoa Drive Makan Place/Whampoa Market),1.32349002,103.8541336
Golden Mile Food Centre,1.30287397,103.8638763
Zion Riverside Food Centre,1.29234004,103.8311844
Clementi Ave 3 Blk 448,1.31334996,103.7645874
Commonwealth Crescent Market,1.30743206,103.7994614
Yishun Park Hawker Centre,1.424911,103.844992
Our Tampines Hub,1.352983,103.940231
Haig Road Blk 13/14 (Haig Road Market and Cooked Food Centre),1.31518996,103.8956528
Havelock Road Blk 22A/B (Havelock Road Cooked Food Centre),1.28804004,103.829689
Holland Drive Blk 44 (Holland Drive Market and Food Centre),1.30818999,103.7928391
Kampung Admiralty Hawker Centre,1.440119,103.800735
Changi Village Blk 2 and 3,1.38971996,103.9881821
Clementi West Street 2 Blk 726,1.30391705,103.7641754
Empress Road Blk 7 (Empress Road Market and Food Centre),1.31631005,103.805687
Kallang Estate Fresh Market and Food Centre,1.30711246,103.8841476
Teban Gardens Road Blk 37A (Teban Gardens Market and Food Centre),1.3205173000000001,103.7420807
Bedok North Street 3 Blk 538,1.3321000299999999,103.9247208
Bedok North Street 4 Blk 85 (85 Fengshan Centre),1.33205998,103.9388123
Ang Mo Kio Ave 10 Blk 527 (Cheng San Market and Cooked Food Centre),1.37270999,103.8544464
Geylang Serai Market,1.31688809,103.8974075
Bedok South Road Blk 16,1.32055998,103.9355469
Amoy Street Food Centre (Telok Ayer Food Centre),1.27912903,103.8469849
Tanjong Pagar Plaza Blk 6 (Blk 6 Tanjong Pagar Plaza Market and Food Centre),1.2766799899999999,103.8432312
Ang Mo Kio Ave 1 Blk 341 (Teck Ghee Court),1.36416996,103.84832
Ang Mo Kio Ave 10 Blk 409 (Teck Ghee Square),1.36273003,103.8553772
Ang Mo Kio Ave 10 Blk 453A (Chong Boon Market and Food Centre),1.3682999599999999,103.8564377
Ang Mo Kio Ave 4 Blk 160/162 (Mayflower Market),1.37460005,103.839241
New Upper Changi Road Blk 208B,1.3246289999999998,103.930477
Shunfu Road Blk 320 (Shunfu Mart),1.35181999,103.8370285
Sims Place Blk 49 (Sims Vista Market and Food Centre),1.31710005,103.8793793
