plannin_area,subzone,age_group,sex,count
jurong east,yuhua east,0-4,m,490
jurong east,yuhua west,0-4,m,390
jurong west,boon lay place,0-4,m,1000
jurong west,hong kah,0-4,m,1060
jurong west,jurong west central,0-4,m,2090
jurong west,taman jurong,0-4,m,950
jurong west,wenya,0-4,m,340
jurong west,yunnan,0-4,m,1410
kallang,bendemeer,0-4,m,880
kallang,boon keng,0-4,m,250
kallang,crawford,0-4,m,150
kallang,geylang bahru,0-4,m,210
kallang,kampong bugis,0-4,m,20
kallang,kampong java,0-4,m,250
kallang,lavender,0-4,m,190
kallang,tanjong rhu,0-4,m,280
mandai,mandai estate,0-4,m,50
marine parade,katong,0-4,m,220
marine parade,marine parade,0-4,m,660
marine parade,mountbatten,0-4,m,250
museum,fort canning,0-4,m,10
newton,cairnhill,0-4,m,80
newton,goodwood park,0-4,m,30
newton,monk's hill,0-4,m,10
newton,newton circus,0-4,m,10
newton,orange grove,0-4,m,30
novena,balestier,0-4,m,740
novena,dunearn,0-4,m,70
novena,malcolm,0-4,m,40
novena,moulmein,0-4,m,290
novena,mount pleasant,0-4,m,10
orchard,boulevard,0-4,m,10
orchard,tanglin,0-4,m,10
outram,china square,0-4,m,30
outram,chinatown,0-4,m,420
outram,pearl's hill,0-4,m,160
pasir ris,flora drive,0-4,m,280
pasir ris,loyang east,0-4,m,40
pasir ris,pasir ris central,0-4,m,630
pasir ris,pasir ris drive,0-4,m,1130
pasir ris,pasir ris park,0-4,m,100
pasir ris,pasir ris west,0-4,m,780
punggol,matilda,0-4,m,2240
punggol,punggol field,0-4,m,1440
punggol,punggol town centre,0-4,m,620
punggol,waterway east,0-4,m,1840
queenstown,commonwealth,0-4,m,160
queenstown,dover,0-4,m,340
queenstown,ghim moh,0-4,m,280
queenstown,holland drive,0-4,m,270
queenstown,kent ridge,0-4,m,20
queenstown,margaret drive,0-4,m,380
queenstown,mei chin,0-4,m,330
queenstown,national university of s'pore,0-4,m,10
queenstown,one north,0-4,m,20
queenstown,pasir panjang 1,0-4,m,100
queenstown,pasir panjang 2,0-4,m,90
queenstown,singapore polytechnic,0-4,m,10
queenstown,tanglin halt,0-4,m,300
river valley,institution hill,0-4,m,110
river valley,leonie hill,0-4,m,40
river valley,one tree hill,0-4,m,20
river valley,oxley,0-4,m,20
rochor,bencoolen,0-4,m,40
rochor,farrer park,0-4,m,50
rochor,little india,0-4,m,50
rochor,mount emily,0-4,m,30
rochor,selegie,0-4,m,10
rochor,sungei road,0-4,m,50
rochor,victoria,0-4,m,30
seletar,seletar,0-4,m,10
sembawang,admiralty,0-4,m,520
sembawang,sembawang central,0-4,m,740
sembawang,sembawang north,0-4,m,870
sembawang,sembawang springs,0-4,m,80
sembawang,sembawang straits,0-4,m,60
sengkang,anchorvale,0-4,m,1530
sengkang,compassvale,0-4,m,1000
sengkang,fernvale,0-4,m,2160
sengkang,rivervale,0-4,m,1570
sengkang,sengkang town centre,0-4,m,1620
serangoon,lorong chuan,0-4,m,150
serangoon,seletar hills,0-4,m,310
serangoon,serangoon central,0-4,m,420
serangoon,serangoon garden,0-4,m,630
serangoon,serangoon north,0-4,m,320
serangoon,upper paya lebar,0-4,m,270
singapore river,boat quay,0-4,m,10
singapore river,robertson quay,0-4,m,70
southern islands,sentosa,0-4,m,50
sungei kadut,turf club,0-4,m,20
tampines,simei,0-4,m,980
tampines,tampines east,0-4,m,3060
tampines,tampines west,0-4,m,1780
tampines,xilin,0-4,m,30
tanglin,chatsworth,0-4,m,140
tanglin,nassim,0-4,m,220
tanglin,ridout,0-4,m,30
tanglin,tyersall,0-4,m,70
toa payoh,boon teck,0-4,m,280
toa payoh,braddell,0-4,m,210
toa payoh,joo seng,0-4,m,120
toa payoh,kim keat,0-4,m,160
toa payoh,lorong 8 toa payoh,0-4,m,140
toa payoh,pei chun,0-4,m,200
toa payoh,potong pasir,0-4,m,240
toa payoh,sennett,0-4,m,60
toa payoh,toa payoh central,0-4,m,930
toa payoh,toa payoh west,0-4,m,210
toa payoh,woodleigh,0-4,m,70
western water catchment,western water catchment,0-4,m,30
woodlands,midview,0-4,m,810
woodlands,north coast,0-4,m,280
woodlands,woodgrove,0-4,m,710
woodlands,woodlands east,0-4,m,2480
woodlands,woodlands south,0-4,m,1180
woodlands,woodlands west,0-4,m,740
yishun,khatib,0-4,m,170
yishun,lower seletar,0-4,m,140
yishun,nee soon,0-4,m,30
yishun,northland,0-4,m,560
yishun,springleaf,0-4,m,70
yishun,yishun central,0-4,m,30
yishun,yishun east,0-4,m,2370
yishun,yishun south,0-4,m,720
yishun,yishun west,0-4,m,1160
ang mo kio,ang mo kio town centre,5-9,m,130
ang mo kio,cheng san,5-9,m,630
ang mo kio,chong boon,5-9,m,580
ang mo kio,kebun bahru,5-9,m,490
ang mo kio,sembawang hills,5-9,m,160
ang mo kio,shangri-la,5-9,m,410
ang mo kio,tagore,5-9,m,190
ang mo kio,townsville,5-9,m,590
ang mo kio,yio chu kang east,5-9,m,90
ang mo kio,yio chu kang west,5-9,m,620
bedok,bayshore,5-9,m,230
bedok,bedok north,5-9,m,1890
bedok,bedok reservoir,5-9,m,730
bedok,bedok south,5-9,m,1160
bedok,frankel,5-9,m,940
bedok,kaki bukit,5-9,m,910
bedok,kembangan,5-9,m,750
bedok,siglap,5-9,m,140
bishan,bishan east,5-9,m,640
bishan,marymount,5-9,m,970
bishan,upper thomson,5-9,m,690
bukit batok,bukit batok central,5-9,m,670
bukit batok,bukit batok east,5-9,m,340
bukit batok,bukit batok south,5-9,m,320
bukit batok,bukit batok west,5-9,m,380
bukit batok,gombak,5-9,m,330
bukit batok,guilin,5-9,m,310
bukit batok,hillview,5-9,m,420
bukit batok,hong kah north,5-9,m,680
bukit merah,alexandra hill,5-9,m,380
bukit merah,alexandra north,5-9,m,40
bukit merah,bukit ho swee,5-9,m,330
bukit merah,bukit merah,5-9,m,30
bukit merah,depot road,5-9,m,170
bukit merah,everton park,5-9,m,200
bukit merah,henderson hill,5-9,m,290
bukit merah,kampong tiong bahru,5-9,m,220
bukit merah,maritime square,5-9,m,70
bukit merah,redhill,5-9,m,390
bukit merah,telok blangah drive,5-9,m,340
bukit merah,telok blangah rise,5-9,m,250
bukit merah,telok blangah way,5-9,m,240
bukit merah,tiong bahru,5-9,m,290
bukit merah,tiong bahru station,5-9,m,510
bukit panjang,bangkit,5-9,m,520
bukit panjang,dairy farm,5-9,m,140
bukit panjang,fajar,5-9,m,820
bukit panjang,jelebu,5-9,m,800
bukit panjang,nature reserve,5-9,m,110
bukit panjang,saujana,5-9,m,760
bukit panjang,senja,5-9,m,700
bukit timah,anak bukit,5-9,m,570
bukit timah,coronation road,5-9,m,200
bukit timah,farrer court,5-9,m,150
bukit timah,hillcrest,5-9,m,230
bukit timah,holland road,5-9,m,260
bukit timah,leedon park,5-9,m,160
bukit timah,swiss club,5-9,m,130
bukit timah,ulu pandan,5-9,m,320
changi,changi point,5-9,m,10
changi,changi west,5-9,m,100
choa chu kang,choa chu kang central,5-9,m,560
choa chu kang,choa chu kang north,5-9,m,870
choa chu kang,keat hong,5-9,m,400
choa chu kang,peng siang,5-9,m,870
choa chu kang,teck whye,5-9,m,620
choa chu kang,yew tee,5-9,m,1520
clementi,clementi central,5-9,m,360
clementi,clementi north,5-9,m,590
clementi,clementi west,5-9,m,370
clementi,clementi woods,5-9,m,410
clementi,faber,5-9,m,150
clementi,sunset way,5-9,m,120
clementi,west coast,5-9,m,250
downtown core,bugis,5-9,m,40
downtown core,central subzone,5-9,m,10
geylang,aljunied,5-9,m,1000
geylang,geylang east,5-9,m,850
geylang,kampong ubi,5-9,m,310
geylang,macpherson,5-9,m,650
hougang,hougang central,5-9,m,110
hougang,hougang east,5-9,m,430
hougang,hougang west,5-9,m,1010
hougang,kangkar,5-9,m,580
hougang,kovan,5-9,m,610
hougang,lorong ah soo,5-9,m,690
hougang,tai seng,5-9,m,360
hougang,trafalgar,5-9,m,1220
jurong east,lakeside,5-9,m,20
jurong east,teban gardens,5-9,m,460
jurong east,toh guan,5-9,m,390
jurong east,yuhua east,5-9,m,590
jurong east,yuhua west,5-9,m,500
jurong west,boon lay place,5-9,m,950
jurong west,hong kah,5-9,m,1320
jurong west,jurong west central,5-9,m,2530
jurong west,taman jurong,5-9,m,1050
jurong west,wenya,5-9,m,400
jurong west,yunnan,5-9,m,1870
kallang,bendemeer,5-9,m,770
kallang,boon keng,5-9,m,200
kallang,crawford,5-9,m,160
kallang,geylang bahru,5-9,m,260
kallang,kampong bugis,5-9,m,10
kallang,kampong java,5-9,m,320
kallang,lavender,5-9,m,220
kallang,tanjong rhu,5-9,m,310
mandai,mandai estate,5-9,m,50
marine parade,katong,5-9,m,260
marine parade,marine parade,5-9,m,800
marine parade,mountbatten,5-9,m,260
museum,fort canning,5-9,m,10
newton,cairnhill,5-9,m,130
newton,goodwood park,5-9,m,50
newton,monk's hill,5-9,m,50
newton,newton circus,5-9,m,10
newton,orange grove,5-9,m,30
novena,balestier,5-9,m,810
novena,dunearn,5-9,m,90
novena,malcolm,5-9,m,110
novena,moulmein,5-9,m,500
novena,mount pleasant,5-9,m,20
orchard,boulevard,5-9,m,10
orchard,tanglin,5-9,m,10
outram,china square,5-9,m,10
outram,chinatown,5-9,m,380
outram,pearl's hill,5-9,m,140
pasir ris,flora drive,5-9,m,370
pasir ris,loyang east,5-9,m,40
pasir ris,pasir ris central,5-9,m,670
pasir ris,pasir ris drive,5-9,m,1480
pasir ris,pasir ris park,5-9,m,90
pasir ris,pasir ris west,5-9,m,1000
punggol,matilda,5-9,m,1120
punggol,northshore,5-9,m,10
punggol,punggol field,5-9,m,1990
punggol,punggol town centre,5-9,m,310
punggol,waterway east,5-9,m,1320
queenstown,commonwealth,5-9,m,160
queenstown,dover,5-9,m,430
queenstown,ghim moh,5-9,m,270
queenstown,holland drive,5-9,m,230
queenstown,kent ridge,5-9,m,20
queenstown,margaret drive,5-9,m,300
queenstown,mei chin,5-9,m,380
queenstown,national university of s'pore,5-9,m,10
queenstown,one north,5-9,m,20
queenstown,pasir panjang 1,5-9,m,90
queenstown,pasir panjang 2,5-9,m,70
queenstown,singapore polytechnic,5-9,m,10
queenstown,tanglin halt,5-9,m,280
river valley,institution hill,5-9,m,110
river valley,leonie hill,5-9,m,60
river valley,one tree hill,5-9,m,30
river valley,oxley,5-9,m,30
rochor,bencoolen,5-9,m,20
rochor,farrer park,5-9,m,90
rochor,little india,5-9,m,70
rochor,mackenzie,5-9,m,10
rochor,mount emily,5-9,m,20
rochor,sungei road,5-9,m,40
rochor,victoria,5-9,m,20
seletar,seletar,5-9,m,10
sembawang,admiralty,5-9,m,570
sembawang,sembawang central,5-9,m,920
sembawang,sembawang north,5-9,m,1080
sembawang,sembawang springs,5-9,m,130
sembawang,sembawang straits,5-9,m,50
sengkang,anchorvale,5-9,m,1610
sengkang,compassvale,5-9,m,880
sengkang,fernvale,5-9,m,1500
sengkang,rivervale,5-9,m,1910
sengkang,sengkang town centre,5-9,m,1800
serangoon,lorong chuan,5-9,m,230
serangoon,seletar hills,5-9,m,320
serangoon,serangoon central,5-9,m,500
serangoon,serangoon garden,5-9,m,760
serangoon,serangoon north,5-9,m,440
serangoon,upper paya lebar,5-9,m,360
singapore river,robertson quay,5-9,m,80
southern islands,sentosa,5-9,m,30
sungei kadut,turf club,5-9,m,10
tampines,simei,5-9,m,1080
tampines,tampines east,5-9,m,3220
tampines,tampines west,5-9,m,1990
tampines,xilin,5-9,m,40
tanglin,chatsworth,5-9,m,150
tanglin,nassim,5-9,m,280
tanglin,ridout,5-9,m,40
tanglin,tyersall,5-9,m,110
toa payoh,boon teck,5-9,m,330
toa payoh,braddell,5-9,m,260
toa payoh,joo seng,5-9,m,200
toa payoh,kim keat,5-9,m,200
toa payoh,lorong 8 toa payoh,5-9,m,150
toa payoh,pei chun,5-9,m,290
toa payoh,potong pasir,5-9,m,270
toa payoh,sennett,5-9,m,90
toa payoh,toa payoh central,5-9,m,790
toa payoh,toa payoh west,5-9,m,250
toa payoh,woodleigh,5-9,m,100
western water catchment,western water catchment,5-9,m,20
woodlands,midview,5-9,m,940
woodlands,north coast,5-9,m,310
woodlands,woodgrove,5-9,m,930
woodlands,woodlands east,5-9,m,3170
woodlands,woodlands south,5-9,m,1300
woodlands,woodlands west,5-9,m,750
yishun,khatib,5-9,m,220
yishun,lower seletar,5-9,m,110
yishun,nee soon,5-9,m,20
yishun,northland,5-9,m,770
yishun,springleaf,5-9,m,90
yishun,yishun central,5-9,m,30
yishun,yishun east,5-9,m,1580
yishun,yishun south,5-9,m,910
yishun,yishun west,5-9,m,1340
ang mo kio,ang mo kio town centre,10-14,m,160
ang mo kio,cheng san,10-14,m,680
ang mo kio,chong boon,10-14,m,640
ang mo kio,kebun bahru,10-14,m,540
ang mo kio,sembawang hills,10-14,m,220
ang mo kio,shangri-la,10-14,m,430
ang mo kio,tagore,10-14,m,180
ang mo kio,townsville,10-14,m,490
ang mo kio,yio chu kang east,10-14,m,120
ang mo kio,yio chu kang west,10-14,m,740
bedok,bayshore,10-14,m,230
bedok,bedok north,10-14,m,2110
bedok,bedok reservoir,10-14,m,760
bedok,bedok south,10-14,m,1340
bedok,frankel,10-14,m,900
bedok,kaki bukit,10-14,m,1070
bedok,kembangan,10-14,m,920
bedok,siglap,10-14,m,150
bishan,bishan east,10-14,m,710
bishan,marymount,10-14,m,970
bishan,upper thomson,10-14,m,810
bukit batok,bukit batok central,10-14,m,770
bukit batok,bukit batok east,10-14,m,370
bukit batok,bukit batok south,10-14,m,430
bukit batok,bukit batok west,10-14,m,450
bukit batok,gombak,10-14,m,260
bukit batok,guilin,10-14,m,350
bukit batok,hillview,10-14,m,560
bukit batok,hong kah north,10-14,m,820
bukit merah,alexandra hill,10-14,m,400
bukit merah,alexandra north,10-14,m,20
bukit merah,bukit ho swee,10-14,m,300
bukit merah,bukit merah,10-14,m,30
bukit merah,depot road,10-14,m,120
bukit merah,everton park,10-14,m,190
bukit merah,henderson hill,10-14,m,280
bukit merah,kampong tiong bahru,10-14,m,210
bukit merah,maritime square,10-14,m,50
bukit merah,redhill,10-14,m,260
bukit merah,telok blangah drive,10-14,m,360
bukit merah,telok blangah rise,10-14,m,300
bukit merah,telok blangah way,10-14,m,240
bukit merah,tiong bahru,10-14,m,220
bukit merah,tiong bahru station,10-14,m,440
bukit panjang,bangkit,10-14,m,630
bukit panjang,dairy farm,10-14,m,200
bukit panjang,fajar,10-14,m,860
bukit panjang,jelebu,10-14,m,1010
bukit panjang,nature reserve,10-14,m,120
bukit panjang,saujana,10-14,m,800
bukit panjang,senja,10-14,m,720
bukit timah,anak bukit,10-14,m,710
bukit timah,coronation road,10-14,m,190
bukit timah,farrer court,10-14,m,130
bukit timah,hillcrest,10-14,m,240
bukit timah,holland road,10-14,m,320
bukit timah,leedon park,10-14,m,150
bukit timah,swiss club,10-14,m,190
bukit timah,ulu pandan,10-14,m,330
changi,changi point,10-14,m,20
changi,changi west,10-14,m,100
choa chu kang,choa chu kang central,10-14,m,700
choa chu kang,choa chu kang north,10-14,m,1280
choa chu kang,keat hong,10-14,m,500
choa chu kang,peng siang,10-14,m,970
choa chu kang,teck whye,10-14,m,720
choa chu kang,yew tee,10-14,m,1530
clementi,clementi central,10-14,m,340
clementi,clementi north,10-14,m,620
clementi,clementi west,10-14,m,420
clementi,clementi woods,10-14,m,390
clementi,faber,10-14,m,160
clementi,sunset way,10-14,m,150
clementi,west coast,10-14,m,200
downtown core,bugis,10-14,m,20
downtown core,central subzone,10-14,m,10
geylang,aljunied,10-14,m,970
geylang,geylang east,10-14,m,740
geylang,kampong ubi,10-14,m,360
geylang,macpherson,10-14,m,650
hougang,hougang central,10-14,m,140
hougang,hougang east,10-14,m,510
hougang,hougang west,10-14,m,1190
hougang,kangkar,10-14,m,740
hougang,kovan,10-14,m,750
hougang,lorong ah soo,10-14,m,840
hougang,tai seng,10-14,m,390
hougang,trafalgar,10-14,m,1420
jurong east,lakeside,10-14,m,20
jurong east,teban gardens,10-14,m,500
jurong east,toh guan,10-14,m,520
jurong east,yuhua east,10-14,m,740
jurong east,yuhua west,10-14,m,570
jurong west,boon lay place,10-14,m,920
jurong west,hong kah,10-14,m,1640
jurong west,jurong west central,10-14,m,2280
jurong west,taman jurong,10-14,m,1170
jurong west,wenya,10-14,m,300
jurong west,yunnan,10-14,m,2320
kallang,bendemeer,10-14,m,710
kallang,boon keng,10-14,m,230
kallang,crawford,10-14,m,180
kallang,geylang bahru,10-14,m,330
kallang,kampong bugis,10-14,m,20
kallang,kampong java,10-14,m,290
kallang,lavender,10-14,m,260
kallang,tanjong rhu,10-14,m,300
mandai,mandai estate,10-14,m,70
marine parade,katong,10-14,m,270
marine parade,marine parade,10-14,m,780
marine parade,mountbatten,10-14,m,280
newton,cairnhill,10-14,m,80
newton,goodwood park,10-14,m,20
newton,monk's hill,10-14,m,40
newton,newton circus,10-14,m,10
newton,orange grove,10-14,m,20
novena,balestier,10-14,m,830
novena,dunearn,10-14,m,110
novena,malcolm,10-14,m,70
novena,moulmein,10-14,m,290
novena,mount pleasant,10-14,m,10
orchard,boulevard,10-14,m,10
orchard,tanglin,10-14,m,10
outram,china square,10-14,m,20
outram,chinatown,10-14,m,190
outram,pearl's hill,10-14,m,140
pasir ris,flora drive,10-14,m,450
pasir ris,loyang east,10-14,m,50
pasir ris,pasir ris central,10-14,m,840
pasir ris,pasir ris drive,10-14,m,1900
pasir ris,pasir ris park,10-14,m,100
pasir ris,pasir ris west,10-14,m,1310
punggol,matilda,10-14,m,640
punggol,northshore,10-14,m,10
punggol,punggol field,10-14,m,1640
punggol,punggol town centre,10-14,m,120
punggol,waterway east,10-14,m,760
queenstown,commonwealth,10-14,m,160
queenstown,dover,10-14,m,370
queenstown,ghim moh,10-14,m,260
queenstown,holland drive,10-14,m,280
queenstown,kent ridge,10-14,m,20
queenstown,margaret drive,10-14,m,220
queenstown,mei chin,10-14,m,420
queenstown,one north,10-14,m,10
queenstown,pasir panjang 1,10-14,m,100
queenstown,pasir panjang 2,10-14,m,80
queenstown,singapore polytechnic,10-14,m,10
queenstown,tanglin halt,10-14,m,260
river valley,institution hill,10-14,m,100
river valley,leonie hill,10-14,m,60
river valley,one tree hill,10-14,m,40
river valley,oxley,10-14,m,40
rochor,bencoolen,10-14,m,20
rochor,farrer park,10-14,m,70
rochor,little india,10-14,m,80
rochor,mount emily,10-14,m,20
rochor,sungei road,10-14,m,60
rochor,victoria,10-14,m,20
seletar,seletar,10-14,m,10
sembawang,admiralty,10-14,m,510
sembawang,sembawang central,10-14,m,1020
sembawang,sembawang north,10-14,m,1040
sembawang,sembawang springs,10-14,m,150
sembawang,sembawang straits,10-14,m,50
sengkang,anchorvale,10-14,m,1320
sengkang,compassvale,10-14,m,500
sengkang,fernvale,10-14,m,850
sengkang,rivervale,10-14,m,2020
sengkang,sengkang town centre,10-14,m,1820
serangoon,lorong chuan,10-14,m,280
serangoon,seletar hills,10-14,m,370
serangoon,serangoon central,10-14,m,670
serangoon,serangoon garden,10-14,m,960
serangoon,serangoon north,10-14,m,550
serangoon,upper paya lebar,10-14,m,380
singapore river,robertson quay,10-14,m,50
southern islands,sentosa,10-14,m,40
sungei kadut,turf club,10-14,m,20
tampines,simei,10-14,m,1140
tampines,tampines east,10-14,m,3590
tampines,tampines west,10-14,m,2220
tampines,xilin,10-14,m,60
tanglin,chatsworth,10-14,m,130
tanglin,nassim,10-14,m,250
tanglin,ridout,10-14,m,40
tanglin,tyersall,10-14,m,90
toa payoh,boon teck,10-14,m,390
toa payoh,braddell,10-14,m,250
toa payoh,joo seng,10-14,m,170
toa payoh,kim keat,10-14,m,170
toa payoh,lorong 8 toa payoh,10-14,m,170
toa payoh,pei chun,10-14,m,310
toa payoh,potong pasir,10-14,m,340
toa payoh,sennett,10-14,m,120
toa payoh,toa payoh central,10-14,m,710
toa payoh,toa payoh west,10-14,m,260
toa payoh,woodleigh,10-14,m,70
western water catchment,western water catchment,10-14,m,30
woodlands,midview,10-14,m,1290
woodlands,north coast,10-14,m,390
woodlands,woodgrove,10-14,m,1220
woodlands,woodlands east,10-14,m,3630
woodlands,woodlands south,10-14,m,1380
woodlands,woodlands west,10-14,m,880
yishun,khatib,10-14,m,250
yishun,lower seletar,10-14,m,110
yishun,nee soon,10-14,m,30
yishun,northland,10-14,m,870
yishun,springleaf,10-14,m,120
yishun,yishun central,10-14,m,30
yishun,yishun east,10-14,m,1450
yishun,yishun south,10-14,m,1010
yishun,yishun west,10-14,m,1530
ang mo kio,ang mo kio town centre,15-19,m,140
ang mo kio,cheng san,15-19,m,760
ang mo kio,chong boon,15-19,m,750
ang mo kio,kebun bahru,15-19,m,620
ang mo kio,sembawang hills,15-19,m,260
ang mo kio,shangri-la,15-19,m,520
ang mo kio,tagore,15-19,m,280
ang mo kio,townsville,15-19,m,500
ang mo kio,yio chu kang east,15-19,m,140
ang mo kio,yio chu kang west,15-19,m,770
bedok,bayshore,15-19,m,190
bedok,bedok north,15-19,m,2580
bedok,bedok reservoir,15-19,m,790
bedok,bedok south,15-19,m,1550
bedok,frankel,15-19,m,1000
bedok,kaki bukit,15-19,m,1420
bedok,kembangan,15-19,m,1080
bedok,siglap,15-19,m,170
bishan,bishan east,15-19,m,790
bishan,marymount,15-19,m,1180
bishan,upper thomson,15-19,m,950
bukit batok,bukit batok central,15-19,m,780
bukit batok,bukit batok east,15-19,m,460
bukit batok,bukit batok south,15-19,m,590
bukit batok,bukit batok west,15-19,m,480
bukit batok,gombak,15-19,m,270
bukit batok,guilin,15-19,m,440
bukit batok,hillview,15-19,m,740
bukit batok,hong kah north,15-19,m,920
bukit merah,alexandra hill,15-19,m,440
bukit merah,alexandra north,15-19,m,20
bukit merah,bukit ho swee,15-19,m,330
bukit merah,bukit merah,15-19,m,40
bukit merah,depot road,15-19,m,120
bukit merah,everton park,15-19,m,160
bukit merah,henderson hill,15-19,m,350
bukit merah,kampong tiong bahru,15-19,m,230
bukit merah,maritime square,15-19,m,50
bukit merah,redhill,15-19,m,240
bukit merah,telok blangah drive,15-19,m,360
bukit merah,telok blangah rise,15-19,m,300
bukit merah,telok blangah way,15-19,m,230
bukit merah,tiong bahru,15-19,m,210
bukit merah,tiong bahru station,15-19,m,340
bukit panjang,bangkit,15-19,m,810
bukit panjang,dairy farm,15-19,m,180
bukit panjang,fajar,15-19,m,920
bukit panjang,jelebu,15-19,m,1240
bukit panjang,nature reserve,15-19,m,130
bukit panjang,saujana,15-19,m,910
bukit panjang,senja,15-19,m,610
bukit timah,anak bukit,15-19,m,730
bukit timah,coronation road,15-19,m,170
bukit timah,farrer court,15-19,m,100
bukit timah,hillcrest,15-19,m,280
bukit timah,holland road,15-19,m,310
bukit timah,leedon park,15-19,m,160
bukit timah,swiss club,15-19,m,180
bukit timah,ulu pandan,15-19,m,330
changi,changi point,15-19,m,30
changi,changi west,15-19,m,60
choa chu kang,choa chu kang central,15-19,m,880
choa chu kang,choa chu kang north,15-19,m,1910
choa chu kang,keat hong,15-19,m,740
choa chu kang,peng siang,15-19,m,1300
choa chu kang,teck whye,15-19,m,1040
choa chu kang,yew tee,15-19,m,1810
clementi,clementi central,15-19,m,350
clementi,clementi north,15-19,m,650
clementi,clementi west,15-19,m,430
clementi,clementi woods,15-19,m,420
clementi,faber,15-19,m,150
clementi,sunset way,15-19,m,190
clementi,west coast,15-19,m,170
downtown core,bugis,15-19,m,50
downtown core,central subzone,15-19,m,10
downtown core,tanjong pagar,15-19,m,10
geylang,aljunied,15-19,m,1070
geylang,geylang east,15-19,m,880
geylang,kampong ubi,15-19,m,440
geylang,macpherson,15-19,m,830
hougang,hougang central,15-19,m,200
hougang,hougang east,15-19,m,690
hougang,hougang west,15-19,m,1600
hougang,kangkar,15-19,m,810
hougang,kovan,15-19,m,880
hougang,lorong ah soo,15-19,m,950
hougang,tai seng,15-19,m,540
hougang,trafalgar,15-19,m,1730
jurong east,lakeside,15-19,m,20
jurong east,teban gardens,15-19,m,550
jurong east,toh guan,15-19,m,560
jurong east,yuhua east,15-19,m,770
jurong east,yuhua west,15-19,m,670
jurong west,boon lay place,15-19,m,1020
jurong west,hong kah,15-19,m,1790
